"amount","timeOffset","idTo","idFrom","nameTo","nameFrom"
"16578.48616050433","4735","15-0003005","4389477161305779","Morsem Industries","Autumn Hull"
"4968.003093674146","4765","36-0007858","4798075880154166","Adapt","Grayson Clay"
"9229.353710043586","4779","34-0007462","4237659125488049","Quicker Limited","Kimberly Daugherty"
"2597.2725540349975","4790","10-0009196","4758208726940773","SuperMemo","Victoria Pearson"
"7282.407291142085","4830","30-0008750","4029489436206449","Datastore","Reagan Becker"
"12576.981049193928","4891","26-0008279","4128770619548578","SuperMemo Limited","Luis Griffin"
"8385.722667441607","4911","63-0008192","4744468736938772","Quicker Associates","Aaliyah Harrington"
"830.4767307442171","4913","11-0000693","4744468736938772","Woods Limited","Aaliyah Harrington"
"7648.69190888232","4944","66-0001182","4623240228244340","Terson LLC","Jackson Lambert"
"10114.982820227666","4954","36-0007858","4284856972457869","Adapt","Charlotte Flowers"
"9620.301608130563","5067","66-0001820","4448394664067096","Linger Consulting","Kylie Chavez"
"8299.382528859942","5068","93-0003238","4448394664067096","MemorTech","Kylie Chavez"
"17479.08415485806","5085","52-0001242","4017385101040044","Terson","Carson Murray"
"12613.415561980433","5098","31-0000111","4598044046731061","Beans","Andrea Joyner"
"3875.9462254903333","5099","22-0009971","4598044046731061","Gualas Inc.","Andrea Joyner"
"10599.117497267316","5127","81-0004521","4695843241739221","Nonos","Kylie Anthony"
"5825.43527403438","5137","03-0001737","4146177205269650","Robutenia","Alexis Sullivan"
"4127.454834432396","5140","33-0006618","4146177205269650","Vitae Inc.","Alexis Sullivan"
"1435.5917769635926","5155","93-0002628","4624911749099368","Morsem Industries","Logan Adams"
"9256.078532708361","5159","05-0001022","4624911749099368","Robutenia LLC","Logan Adams"
"14229.897140291145","5161","23-0006351","4624911749099368","Yrsa","Logan Adams"
"16281.993056484072","5209","34-0009132","4575563620734529","Alist Limited","Morgan Hunt"
"1356.101172636233","5321","64-0003168","4002927074710793","Felics LLC","Ayden Galloway"
"11463.683591868868","5335","46-0004285","4585341215681712","Terson","Madison Ratliff"
"10097.695197537994","5403","13-0005158","4156779725027711","QuickLink","William Berger"
"12684.248255992978","5405","13-0005158","4156779725027711","QuickLink","William Berger"
"10230.6704464446","5422","42-0000394","4233787467146240","Klein","Angel Larson"
"5553.593838309459","5423","87-0008175","4233787467146240","Yrsa LLC","Angel Larson"
"12049.488379687456","5454","46-0004285","4292248338974417","Terson","Elizabeth Frank"
"2025.4596824345435","5548","03-0001737","4334829709944699","Robutenia","Brooklyn Gordon"
"3987.321417549531","5573","88-0008193","4541632516993308","Felics LLC","Ellie Stanton"
"16024.962337227838","5621","03-0001262","4101664525287234","MemorTech","Katherine Hyde"
"10778.622069520663","5647","04-0005397","4261657934255236","Klein","Chase Mcdonald"
"3086.4677535121773","5680","64-0003168","4751316150101353","Felics LLC","Peyton Mccoy"
"4517.168135887161","5705","30-0007443","4872679179874134","Porta","Caleb Massey"
"17057.9142483691","5709","26-0008227","4872679179874134","Furba","Caleb Massey"
"10804.048062414193","5763","43-0001131","4389696512811454","Linger Inc.","Connor Houston"
"5696.844310827957","5764","43-0001131","4389696512811454","Linger Inc.","Connor Houston"
"16511.096927065973","5792","76-0008071","4215125620396174","Gualas","Taylor Lambert"
"7543.158452647006","5809","48-0004741","4121381565122322","Furba","Jose Cooley"
"1621.62756365917","5830","72-0003445","4928515249555630","Vitae LLC","Charles Carlson"
"11976.882592036874","5832","58-0007449","4928515249555630","FlyHigh Consulting","Charles Carlson"
"22.150421391563214","5862","15-0003005","4389477161305779","Morsem Industries","Autumn Hull"
"14950.319070147585","5868","36-0007858","4284856972457869","Adapt","Charlotte Flowers"
"5598.947453509114","5876","80-0001142","4868926943916766","Furba Associates","Mackenzie Curtis"
"7616.275049991285","5880","34-0007757","4868926943916766","Interdem Company","Mackenzie Curtis"
"4501.2532597365425","5900","11-0000693","4744468736938772","Woods Limited","Aaliyah Harrington"
"6587.209881159551","5909","98-0006518","4442982245804767","Datastore Industries","William Anthony"
"151.7489313918977","5910","98-0006518","4442982245804767","Datastore Industries","William Anthony"
"12335.601646015011","5959","81-0006110","4786339840823557","Buapel Inc.","Gabriel Carter"
"608.401199437938","6009","13-0005158","4342579950184327","QuickLink","David Carey"
"10671.124500787355","6021","34-0006093","4425218135616388","SuperMemo","Bentley Fischer"
"11585.834033657988","6037","66-0001820","4448394664067096","Linger Consulting","Kylie Chavez"
"8455.321264824284","6044","58-0007449","4409065385395258","FlyHigh Consulting","Ayden Decker"
"3029.062679754009","6102","57-0004864","4541632516993308","Datastore","Ellie Stanton"
"8882.800487124163","6105","57-0004864","4541632516993308","Datastore","Ellie Stanton"
"8670.522957156305","6106","31-0000111","4541632516993308","Beans","Ellie Stanton"
"958.2305782259982","6109","57-0004864","4541632516993308","Datastore","Ellie Stanton"
"11453.658136852584","6114","76-0008071","4156779725027711","Gualas","William Berger"
"4427.396316046674","6115","76-0008071","4156779725027711","Gualas","William Berger"
"1713.5618270519662","6121","64-0003168","4860191039672652","Felics LLC","Khloe Aguilar"
"7584.852693460711","6134","81-0008841","4384773068293109","Gualas","Makayla Benton"
"17284.75419996656","6151","35-0006721","4585341215681712","Buapel","Madison Ratliff"
"9163.412116674725","6155","23-0004685","4585341215681712","Nonos Industries","Madison Ratliff"
"5364.885498062532","6187","43-0001131","4813182188535590","Linger Inc.","Levi Avery"
"5756.523020928428","6219","82-0007635","4994570457353854","Robutenia","Gabriella Mendez"
"1120.5700444286322","6280","57-0008867","4575563620734529","Warst","Morgan Hunt"
"9272.073705992158","6282","34-0009132","4575563620734529","Alist Limited","Morgan Hunt"
"13373.236991944115","6288","00-0005711","4918671258435198","Yrsa Inc.","Jason Bartlett"
"13600.012302684932","6324","81-0004521","4711736305550460","Nonos","Jasmine West"
"16609.82830095789","6341","23-0004491","4819040102569794","Morsem Company","Bella Harper"
"5732.652070902088","6348","44-0003715","4666674802346170","Klein","Kayden Bean"
"9116.847765206712","6385","99-0009488","4077521964334028","FlyHigh LLC","Sarah Booth"
"4101.210242699296","6396","23-0008388","4462919266896780","MemorTech","Christopher Chase"
"7441.47813814816","6415","88-0004173","4792344527246421","Klein Limited","Emma Schroeder"
"3690.2555025944284","6454","80-0005916","4097146858253385","Terson LLC","Oliver Sellers"
"9289.661635720586","6560","76-0008071","4215125620396174","Gualas","Taylor Lambert"
"6452.99353911135","6561","76-0008071","4215125620396174","Gualas","Taylor Lambert"
"9947.06157723557","6589","30-0007443","4389696512811454","Porta","Connor Houston"
"3941.9228372538346","6595","98-0009085","4093070823003952","Interdem","Audrey Gonzalez"
"5816.105320408624","6626","01-0005242","4624911749099368","Robutenia Associates","Logan Adams"
"571.5203805779993","6641","15-0003005","4872545349272873","Morsem Industries","Amelia Ellis"
"1251.0225406457885","6654","78-0005990","4719590868234695","SuperMemo","Evelyn Weeks"
"6511.204074781421","6655","66-0001182","4719590868234695","Terson LLC","Evelyn Weeks"
"11167.796475077072","6656","39-0002150","4545086762201880","Gualas","Blake Golden"
"2209.845575141743","6735","24-0002938","4485526329054613","Quicker","Brody Mendez"
"15304.5659177507","6750","39-0005558","4261657934255236","Nonos","Chase Mcdonald"
"13870.374621553647","6764","34-0006093","4727712507081424","SuperMemo","Arianna Henderson"
"14285.134027801068","6766","66-0001182","4727712507081424","Terson LLC","Arianna Henderson"
"4131.62851535506","6789","26-0008227","4872679179874134","Furba","Caleb Massey"
"15536.283447848175","6790","30-0007443","4872679179874134","Porta","Caleb Massey"
"3987.3907631337256","6817","34-0009132","4834521934366815","Alist Limited","Chase Sloan"
"17237.57050836204","6821","52-0001990","4888543005392889","Felics Ltd","Jack Kelley"
"4561.669106776484","6864","03-0001737","4334829709944699","Robutenia","Brooklyn Gordon"
"16782.98139470209","6866","03-0001737","4334829709944699","Robutenia","Brooklyn Gordon"
"15871.48695836477","6869","03-0001737","4334829709944699","Robutenia","Brooklyn Gordon"
"7703.081028897301","6888","11-0007398","4637684291612186","Terson","Faith Woodward"
"8345.029221561008","6897","30-0008750","4221830460513711","Datastore","Cooper Schmidt"
"9785.854733483295","6915","93-0003238","4932731721564461","MemorTech","Samuel Elliott"
"10079.401029949198","6974","76-0000943","4130965985897460","Hostes","Elizabeth Wiley"
"9490.84627505803","6976","76-0000943","4130965985897460","Hostes","Elizabeth Wiley"
"10363.180388041419","6992","48-0009265","4237659125488049","Furba","Kimberly Daugherty"
"13364.31190352706","7015","38-0005417","4403494891088569","Felics","Autumn Clemons"
"10679.440411805788","7044","93-0003587","4988613639912623","Interdem Limited","Claire Horton"
"14263.751191365558","7077","42-0000394","4233787467146240","Klein","Angel Larson"
"15441.781925410905","7084","66-0001182","4623240228244340","Terson LLC","Jackson Lambert"
"5761.725674990579","7085","66-0001182","4623240228244340","Terson LLC","Jackson Lambert"
"6185.319321855944","7149","45-0009998","4912710665650142","SuperMemo","Makayla Mcdowell"
"15326.501231248945","7150","24-0002157","4912710665650142","Woods","Makayla Mcdowell"
"6621.693790015435","7154","22-0009971","4564913584950228","Gualas Inc.","Liam Rivas"
"11885.519715770588","7176","64-0003168","4751316150101353","Felics LLC","Peyton Mccoy"
"1143.0073684305598","7197","33-0006618","4146177205269650","Vitae Inc.","Alexis Sullivan"
"2659.8121942132866","7200","03-0001737","4146177205269650","Robutenia","Alexis Sullivan"
"7768.239590611606","7216","24-0002938","4462919266896780","Quicker","Christopher Chase"
"7081.291613273833","7233","93-0000861","4496341263673288","Quisuc Industries","Gabriel Armstrong"
"7618.820308690364","7240","23-0008432","4665794094572902","Quisuc","Bella Nichols"
"7266.0234903924975","7291","30-0008750","4029489436206449","Datastore","Reagan Becker"
"7405.8051161017065","7293","01-0000732","4570513869539464","Klein","Damian Craft"
"7516.544643017732","7351","39-0009205","4534663533853208","SuperMemo Industries","Brayden English"
"1657.1683959160882","7395","45-0008882","4307599548532442","Quisuc Ltd","Sophie Roman"
"9769.66863528581","7399","39-0005558","4261657934255236","Nonos","Chase Mcdonald"
"201.02917083226748","7412","26-0007772","4571939373457126","Hostes Consulting","Jackson Underwood"
"2507.0432072008853","7413","11-0000693","4571939373457126","Woods Limited","Jackson Underwood"
"16220.405605625989","7416","99-0009488","4233787467146240","FlyHigh LLC","Angel Larson"
"12192.071521253509","7420","57-0004864","4233787467146240","Datastore","Angel Larson"
"9301.91598049064","7421","42-0000394","4233787467146240","Klein","Angel Larson"
"12055.097226794285","7424","42-0000394","4233787467146240","Klein","Angel Larson"
"6354.594164006443","7431","48-0009265","4237659125488049","Furba","Kimberly Daugherty"
"11568.516316720728","7435","34-0007462","4237659125488049","Quicker Limited","Kimberly Daugherty"
"5268.888210300533","7437","34-0007462","4237659125488049","Quicker Limited","Kimberly Daugherty"
"1551.2315002103078","7441","21-0005047","4485526329054613","Interdem Ltd","Brody Mendez"
"1466.484614094964","7448","57-0008867","4575563620734529","Warst","Morgan Hunt"
"3703.402369725092","7451","38-0005417","4575563620734529","Felics","Morgan Hunt"
"8965.761198784847","7471","40-0004041","4478010400874164","Erntogra Associates","Ella Britt"
"1805.5378724159918","7517","46-0004285","4624911749099368","Terson","Logan Adams"
"9190.336648880206","7518","01-0005242","4624911749099368","Robutenia Associates","Logan Adams"
"10620.770071044059","7519","23-0006351","4624911749099368","Yrsa","Logan Adams"
"2588.5799522063535","7523","23-0006351","4624911749099368","Yrsa","Logan Adams"
"11165.867091923305","7538","93-0000861","4666674802346170","Quisuc Industries","Kayden Bean"
"9440.861598606723","7544","44-0003715","4666674802346170","Klein","Kayden Bean"
"16750.141094753584","7568","34-0009132","4928515249555630","Alist Limited","Charles Carlson"
"3309.688080533062","7573","45-0008882","4816009292999031","Quisuc Ltd","Justin Cross"
"12349.437961574673","7600","76-0000408","4037550485903846","Felics","Emma Alvarez"
"7911.896810147265","7604","76-0000408","4037550485903846","Felics","Emma Alvarez"
"17443.496494061113","7606","76-0000408","4037550485903846","Felics","Emma Alvarez"
"5093.52198620485","7624","30-0007443","4254527922271355","Porta","Joshua Winters"
"9225.501313840596","7645","24-0002157","4912710665650142","Woods","Makayla Mcdowell"
"2986.9624540654204","7646","03-0001262","4497122618770519","MemorTech","Gianna Hickman"
"13507.57485445738","7654","23-0004685","4497122618770519","Nonos Industries","Gianna Hickman"
"15721.794202254861","7685","35-0006721","4729235656968736","Buapel","Aubree Carson"
"8091.3875161476135","7686","03-0005168","4994570457353854","Yrsa","Gabriella Mendez"
"8649.537234873891","7692","03-0005168","4994570457353854","Yrsa","Gabriella Mendez"
"11346.675727964011","7725","53-0008616","4798075880154166","Erntogra","Grayson Clay"
"7852.648746210027","7738","63-0008192","4744468736938772","Quicker Associates","Aaliyah Harrington"
"4192.549345404743","7753","15-0003005","4389477161305779","Morsem Industries","Autumn Hull"
"10221.588057117811","7780","76-0000943","4017385101040044","Hostes","Carson Murray"
"17289.660594216548","7801","33-0006618","4221830460513711","Vitae Inc.","Cooper Schmidt"
"14335.105071400143","7815","50-0003805","4044664131908223","Vitae","Ella Harper"
"6090.489027508127","7821","50-0003805","4637684291612186","Vitae","Faith Woodward"
"247.18854636822925","7827","48-0009265","4637684291612186","Furba","Faith Woodward"
"1654.318249574474","7847","34-0007757","4868926943916766","Interdem Company","Mackenzie Curtis"
"2225.794288349527","7872","59-0006985","4932056075320371","Interdem Company","Riley Warner"
"19742.42899202588","7873","59-0006985","4932056075320371","Interdem Company","Riley Warner"
"10610.023645200154","7879","57-0004864","4541632516993308","Datastore","Ellie Stanton"
"7881.023356075354","7880","88-0008193","4541632516993308","Felics LLC","Ellie Stanton"
"7626.422470228044","7881","72-0003445","4541632516993308","Vitae LLC","Ellie Stanton"
"19674.897920323758","7911","74-0009720","4864200130198867","Buapel Industries","Anna Warner"
"3829.7092616705754","7949","45-0009998","4813182188535590","SuperMemo","Levi Avery"
"15221.719701916256","7953","39-0002150","4813182188535590","Gualas","Levi Avery"
"6730.926149051866","7966","44-0003715","4758208726940773","Klein","Victoria Pearson"
"4842.364815473807","7979","00-0005711","4918671258435198","Yrsa Inc.","Jason Bartlett"
"6193.826553196787","7981","00-0005711","4918671258435198","Yrsa Inc.","Jason Bartlett"
"12545.127258557975","8025","03-0001737","4146177205269650","Robutenia","Alexis Sullivan"
"645.7812912617946","8032","06-0009765","4146177205269650","FlyHigh Consulting","Alexis Sullivan"
"3516.0179483675","8042","92-0008906","4872545349272873","Quicker Industries","Amelia Ellis"
"5063.636126648651","8044","27-0007457","4872545349272873","Quisuc","Amelia Ellis"
"11969.523525204204","8074","46-0004285","4292248338974417","Terson","Elizabeth Frank"
"6812.949120266395","8076","20-0002457","4107868513570451","Furba Consulting","Julian Wilder"
"2497.049955596448","8078","01-0005242","4107868513570451","Robutenia Associates","Julian Wilder"
"11011.072545633791","8099","05-0001022","4869889827738467","Robutenia LLC","Alyssa Mcdowell"
"5358.14800994331","8109","00-0005711","4868482512655039","Yrsa Inc.","Isaiah Hester"
"529.2271686249551","8134","80-0006193","4726478810978984","Vitae Industries","Zoe Nguyen"
"5970.107948793147","8142","71-0001909","4807038095045016","Woods","Kimberly Kelly"
"828.2781952097412","8170","03-0001737","4921980647479584","Robutenia","Layla Serrano"
"14256.252028186314","8171","03-0001737","4921980647479584","Robutenia","Layla Serrano"
"10972.343792613125","8177","34-0007462","4570559035187027","Quicker Limited","Peyton Mathews"
"1150.2488536135106","8210","24-0003440","4126628014879075","MemorTech Industries","Faith Wolf"
"8597.89208161647","8220","02-0007280","4741025848335538","Vitae Ltd","Abigail Delacruz"
"14792.612081661278","8224","66-0001182","4623240228244340","Terson LLC","Jackson Lambert"
"14914.089981244895","8227","66-0001182","4623240228244340","Terson LLC","Jackson Lambert"
"16462.85657318122","8229","66-0001182","4623240228244340","Terson LLC","Jackson Lambert"
"3879.9514700410064","8230","66-0001182","4623240228244340","Terson LLC","Jackson Lambert"
"3931.762655634861","8233","66-0001182","4623240228244340","Terson LLC","Jackson Lambert"
"15301.984601810866","8241","26-0007772","4792344527246421","Hostes Consulting","Emma Schroeder"
"9751.08796679459","8242","88-0004173","4792344527246421","Klein Limited","Emma Schroeder"
"8586.929428897589","8250","87-0005976","4564913584950228","Felics Company","Liam Rivas"
"11167.551710395734","8255","65-0006225","4564913584950228","Alist","Liam Rivas"
"4682.6717064886325","8265","63-0008192","4284856972457869","Quicker Associates","Charlotte Flowers"
"8867.569421469005","8282","81-0006110","4403494891088569","Buapel Inc.","Autumn Clemons"
"15383.864324345273","8286","38-0005417","4403494891088569","Felics","Autumn Clemons"
"12214.164235322505","8289","38-0005417","4403494891088569","Felics","Autumn Clemons"
"11750.478477381163","8306","22-0006785","4097146858253385","Yrsa","Oliver Sellers"
"7942.525929087638","8309","81-0008841","4971211177688421","Gualas","Isaac Becker"
"7129.519488768553","8315","20-0002457","4085156564473155","Furba Consulting","Emily Dillard"
"9192.572279719057","8316","46-0004285","4085156564473155","Terson","Emily Dillard"
"20462.45144198124","8317","22-0008851","4085156564473155","Datastore Industries","Emily Dillard"
"971.3661116616267","8351","40-0004041","4638132279342268","Erntogra Associates","Bryson Greer"
"2738.791653302829","8355","26-0008279","4638132279342268","SuperMemo Limited","Bryson Greer"
"1136.2585001333327","8360","76-0008071","4866051596912558","Gualas","Andrea Brady"
"6526.69468943818","8379","30-0007443","4872679179874134","Porta","Caleb Massey"
"3251.8364646280124","8381","26-0008227","4872679179874134","Furba","Caleb Massey"
"8556.089985753486","8428","98-0009085","4002927074710793","Interdem","Ayden Galloway"
"5824.556973993889","8436","63-0003417","4081728905807921","Nonos Inc.","Brayden Arnold"
"10369.934239768167","8462","66-0001820","4448394664067096","Linger Consulting","Kylie Chavez"
"433.07269817199176","8464","01-0000732","4448394664067096","Klein","Kylie Chavez"
"3911.597273347234","8465","66-0001820","4448394664067096","Linger Consulting","Kylie Chavez"
"5637.74452680821","8472","46-0004285","4585341215681712","Terson","Madison Ratliff"
"8405.604314329228","8473","48-0009265","4585341215681712","Furba","Madison Ratliff"
"5324.892875302976","8490","00-0006579","4117944883787328","FlyHigh Associates","Skylar James"
"14407.855644293395","8495","81-0008841","4361763517364236","Gualas","Brianna Tanner"
"130.7694976811381","8509","52-0001242","4912710665650142","Terson","Makayla Mcdowell"
"14295.160726271071","8510","24-0002157","4912710665650142","Woods","Makayla Mcdowell"
"11134.858615522411","8527","23-0008388","4127550473618654","MemorTech","Nolan Foreman"
"11593.254588351956","8537","23-0004685","4585341215681712","Nonos Industries","Madison Ratliff"
"5355.456114052255","8540","34-0007462","4237659125488049","Quicker Limited","Kimberly Daugherty"
"14360.975743380695","8541","34-0007462","4237659125488049","Quicker Limited","Kimberly Daugherty"
"21157.963518635494","8545","34-0007462","4237659125488049","Quicker Limited","Kimberly Daugherty"
"3062.499153932664","8555","82-0007635","4994570457353854","Robutenia","Gabriella Mendez"
"12587.61116288937","8557","82-0007635","4994570457353854","Robutenia","Gabriella Mendez"
"1046.7064184537812","8559","82-0007635","4994570457353854","Robutenia","Gabriella Mendez"
"6689.49162260619","8560","82-0007635","4994570457353854","Robutenia","Gabriella Mendez"
"2706.813500351205","8576","06-0009765","4852437134669634","FlyHigh Consulting","Stella Norman"
"12576.001664785024","8582","23-0004491","4819040102569794","Morsem Company","Bella Harper"
"4905.207549431829","8613","36-0007315","4977361969170734","Woods Inc.","Eva Coleman"
"5070.07343660108","8625","23-0001463","4893589937977753","FlyHigh","Colton Reilly"
"15916.957317276192","8643","75-0000495","4093070823003952","Interdem Consulting","Audrey Gonzalez"
"8117.987376811695","8663","56-0006095","4727712507081424","Woods","Arianna Henderson"
"4737.152439149393","8720","27-0007457","4044664131908223","Quisuc","Ella Harper"
"10365.074803982554","8738","48-0009265","4130965985897460","Furba","Elizabeth Wiley"
"5966.867704695749","8740","48-0009265","4130965985897460","Furba","Elizabeth Wiley"
"4628.3771754934805","8741","76-0000943","4130965985897460","Hostes","Elizabeth Wiley"
"7211.720040872197","8743","76-0000943","4130965985897460","Hostes","Elizabeth Wiley"
"5068.906689105128","8746","26-0007772","4544120256847808","Hostes Consulting","Blake Combs"
"3380.6499399298305","8755","66-0001182","4623240228244340","Terson LLC","Jackson Lambert"
"4411.216717481817","8770","48-0009265","4637684291612186","Furba","Faith Woodward"
"1723.9999563714646","8771","50-0003805","4637684291612186","Vitae","Faith Woodward"
"13384.893043145148","8772","50-0000685","4637684291612186","Hostes Associates","Faith Woodward"
"4539.751556238865","8777","50-0003805","4637684291612186","Vitae","Faith Woodward"
"6462.625525979512","8782","64-0003168","4002927074710793","Felics LLC","Ayden Galloway"
"15342.368922455853","8783","64-0003168","4002927074710793","Felics LLC","Ayden Galloway"
"7474.9967258052875","8786","64-0003168","4002927074710793","Felics LLC","Ayden Galloway"
"6282.751176782283","8787","64-0003168","4002927074710793","Felics LLC","Ayden Galloway"
"7581.591260877192","8812","81-0006110","4403494891088569","Buapel Inc.","Autumn Clemons"
"2447.3941445384507","8813","38-0005417","4403494891088569","Felics","Autumn Clemons"
"3871.0687714719315","8816","30-0008750","4029489436206449","Datastore","Reagan Becker"
"8596.400018203864","8831","00-0006579","4704765268532842","FlyHigh Associates","Melanie Black"
"3793.440578613171","8845","42-0000394","4233787467146240","Klein","Angel Larson"
"3701.5005246406813","8846","87-0008175","4233787467146240","Yrsa LLC","Angel Larson"
"5125.609953278789","8866","30-0007443","4872679179874134","Porta","Caleb Massey"
"4485.61563403717","8888","66-0001182","4869889827738467","Terson LLC","Alyssa Mcdowell"
"16991.930396134834","8890","15-0002056","4869889827738467","Alist","Alyssa Mcdowell"
"18842.49543271645","8895","82-0001602","4051296567638840","Gualas Ltd","Amelia Lindsey"
"5292.3486275924215","8897","24-0002157","4051296567638840","Woods","Amelia Lindsey"
"13798.879823371997","8903","13-0005158","4342579950184327","QuickLink","David Carey"
"11772.508605547257","8904","91-0009634","4342579950184327","FlyHigh Industries","David Carey"
"1362.0455587424894","8917","64-0003168","4751316150101353","Felics LLC","Peyton Mccoy"
"5565.044606544558","8936","82-0001602","4564913584950228","Gualas Ltd","Liam Rivas"
"7706.39626116601","8949","52-0001990","4888543005392889","Felics Ltd","Jack Kelley"
"2851.4360922293317","8980","21-0005047","4485526329054613","Interdem Ltd","Brody Mendez"
"7816.217113585175","8996","02-0000021","4556641339267313","Hostes Inc.","Justin Snyder"
"20243.47199936274","9001","23-0006351","4496341263673288","Yrsa","Gabriel Armstrong"
"7512.645831198572","9002","88-0004173","4496341263673288","Klein Limited","Gabriel Armstrong"
"9241.204325572875","9003","01-0005242","4719282561375435","Robutenia Associates","Alex Patterson"
"11080.456422430852","9026","30-0004753","4092863419642261","Klein","Cooper Kline"
"13529.571896600288","9030","03-0005168","4194723130771467","Yrsa","Mackenzie West"
"6669.747283298577","9039","88-0008193","4624911749099368","Felics LLC","Logan Adams"
"5799.680020707256","9040","23-0006351","4624911749099368","Yrsa","Logan Adams"
"10823.469547192562","9043","23-0006351","4624911749099368","Yrsa","Logan Adams"
"12606.286002864923","9044","23-0006351","4624911749099368","Yrsa","Logan Adams"
"966.7991357708343","9045","88-0006357","4624911749099368","Klein","Logan Adams"
"13242.868571014125","9056","03-0001262","4494767598215258","MemorTech","Christian Dawson"
"7411.907544904228","9108","91-0006349","4583078734214235","Erntogra Associates","Landon Odom"
"9428.046616408341","9114","26-0008279","4521312934162794","SuperMemo Limited","Mackenzie Whitehead"
"6785.407690502785","9122","39-0005558","4501348567042311","Nonos","Anna Fuentes"
"15555.042662143289","9125","75-0004311","4317836226699426","Terson Ltd","Noah Meyer"
"6591.130172040004","9128","30-0008750","4221830460513711","Datastore","Cooper Schmidt"
"16241.318060891106","9132","22-0006785","4221830460513711","Yrsa","Cooper Schmidt"
"11041.595442249843","9138","01-0005890","4961220610840194","Gualas Ltd","Benjamin Burns"
"4174.221010826795","9143","35-0001409","4850537843722251","Alist","Adam Ballard"
"8327.834239267107","9144","76-0008071","4215125620396174","Gualas","Taylor Lambert"
"8193.245791179292","9147","26-0008279","4638132279342268","SuperMemo Limited","Bryson Greer"
"11345.86242045537","9148","81-0008841","4638132279342268","Gualas","Bryson Greer"
"11003.481067114926","9153","81-0008841","4638132279342268","Gualas","Bryson Greer"
"11148.865895447165","9183","30-0008750","4218085448615097","Datastore","Madeline Myers"
"12465.929858300085","9198","82-0007635","4794986630113852","Robutenia","Harper Duke"
"11163.571693227641","9247","11-0007398","4545086762201880","Terson","Blake Golden"
"2012.588148922101","9249","24-0002737","4412799736110322","Woods Associates","Emma Franco"
